,song,link,album,year,artist
43,Nos Differences,../lyrics/a1/nosdifferences.html,Make It Good,2002,A1
44,,,Make It Good,2002,A1
45,It Happens Everyday,../lyrics/a1/ithappenseveryday.html,Waiting For Daylight,2010,A1
46,Don't Wanna Loose You Again,../lyrics/a1/dontwannalooseyouagain.html,Waiting For Daylight,2010,A1
47,In Love And I Hate It,../lyrics/a1/inloveandihateit.html,Waiting For Daylight,2010,A1
48,Bad Enough,../lyrics/a1/badenough.html,Waiting For Daylight,2010,A1
49,Nothing In Common,../lyrics/a1/nothingincommon.html,Waiting For Daylight,2010,A1
50,Take You Home,../lyrics/a1/takeyouhome.html,Waiting For Daylight,2010,A1
51,Six Feet Under,../lyrics/a1/sixfeetunder.html,Waiting For Daylight,2010,A1
52,"Good Things, Bad People",../lyrics/a1/goodthingsbadpeople.html,Waiting For Daylight,2010,A1
53,Perfect Disaster,../lyrics/a1/perfectdisaster.html,Waiting For Daylight,2010,A1
54,The Life That Could Have Been,../lyrics/a1/thelifethatcouldhavebeen.html,Waiting For Daylight,2010,A1
55,Out There,../lyrics/a1/outthere.html,Waiting For Daylight,2010,A1
56,Waiting For Daylight,../lyrics/a1/waitingfordaylight.html,Waiting For Daylight,2010,A1
57,,,Waiting For Daylight,2010,A1
58,Trust Me,../lyrics/a1/trustme.html,Rediscovered,2012,A1
59,Christopher Columbus,../lyrics/a1/christophercolumbus.html,Rediscovered,2012,A1
60,Riot,../lyrics/a1/riot.html,Rediscovered,2012,A1
61,That Somebody Is Me,../lyrics/a1/thatsomebodyisme.html,Rediscovered,2012,A1
62,Lovesick,../lyrics/a1/lovesick.html,Rediscovered,2012,A1
63,Fallen From Grace,../lyrics/a1/fallenfromgrace.html,Rediscovered,2012,A1
64,Starlights,../lyrics/a1/starlights.html,Rediscovered,2012,A1
65,Blackout,../lyrics/a1/blackout.html,Rediscovered,2012,A1
66,Just 3 Words,../lyrics/a1/just3words.html,Rediscovered,2012,A1
67,Stones,../lyrics/a1/stones.html,Rediscovered,2012,A1
68,Grateful,../lyrics/a1/grateful.html,Rediscovered,2012,A1
69,2:59,../lyrics/a1/259.html,,,A1
70,After All It's Christmas,../lyrics/a1/afterallitschristmas.html,,,A1
71,Another Year Gone,../lyrics/a1/anotheryeargone.html,,,A1
72,Beatles Medley,../lyrics/a1/beatlesmedley.html,,,A1
73,Come On Down,../lyrics/a1/comeondown.html,,,A1
74,Critical Love,../lyrics/a1/criticallove.html,,,A1
75,Do I Need A Reason,../lyrics/a1/doineedareason.html,,,A1
76,Do It Again,../lyrics/a1/doitagain.html,,,A1
77,Funkin' Up,../lyrics/a1/funkinup.html,,,A1
78,Hide Your Love,../lyrics/a1/hideyourlove.html,,,A1
79,High And Dry,../lyrics/a1/highanddry.html,,,A1
80,I Got Sunshine,../lyrics/a1/igotsunshine.html,,,A1
81,If You Were My Girl,../lyrics/a1/ifyouweremygirl.html,,,A1
82,Miracle,../lyrics/a1/miracle.html,,,A1
83,Power Of Desire,../lyrics/a1/powerofdesire.html,,,A1
84,Three Times A Lady,../lyrics/a1/threetimesalady.html,,,A1
85,White Christmas,../lyrics/a1/whitechristmas.html,,,A1
86,You're Not In Love,../lyrics/a1/yourenotinlove.html,,,A1
